Box size
-0.1875,0.7853975000000002
Morse_node,Morse_tile,Morse_set,Box_center
0,240, ,2.71875,1.9634937500000003
0,241, ,2.90625,2.74889125
0,242, ,2.71875,2.74889125
0,243, ,2.53125,1.9634937500000003
0,244, ,2.34375,1.9634937500000003
0,245, ,2.53125,2.74889125
0,246, ,2.34375,2.74889125
0,247,0,2.15625,0.3926987500000001
0,253, ,1.96875,0.3926987500000001
0,341, ,2.15625,1.1780962500000003
0,418, ,1.96875,1.1780962500000003
0,424, ,1.78125,0.3926987500000001
0,426, ,1.59375,0.3926987500000001
0,427, ,1.78125,1.1780962500000003
1,10, ,1.59375,1.1780962500000003
1,32, ,2.15625,1.9634937500000003
1,34, ,1.96875,1.9634937500000003
1,40, ,2.15625,2.74889125
1,41, ,1.96875,2.74889125
1,42, ,1.78125,1.9634937500000003
1,43, ,1.59375,1.9634937500000003
1,84, ,1.78125,2.74889125
1,85, ,1.59375,2.74889125
1,86, ,2.90625,3.5342887499999995
1,87, ,2.71875,3.5342887499999995
1,93, ,2.90625,4.319686249999999
1,128, ,2.71875,4.319686249999999
1,129, ,2.53125,3.5342887499999995
1,130, ,2.34375,3.5342887499999995
1,131, ,2.53125,4.319686249999999
1,136, ,2.34375,4.319686249999999
1,137, ,2.90625,5.1050837499999995
1,138, ,2.71875,5.1050837499999995
1,139, ,2.90625,5.89048125
1,140, ,2.71875,5.89048125
1,142, ,2.53125,5.1050837499999995
1,143, ,2.34375,5.1050837499999995
1,161, ,2.53125,5.89048125
1,164, ,2.34375,5.89048125
1,165, ,2.15625,3.5342887499999995
1,166, ,1.96875,3.5342887499999995
1,167, ,2.15625,4.319686249999999
1,173, ,1.96875,4.319686249999999
1,176, ,1.78125,3.5342887499999995
1,177, ,1.59375,3.5342887499999995
1,178, ,1.78125,4.319686249999999
1,179, ,1.59375,4.319686249999999
1,180, ,2.15625,5.1050837499999995
1,181, ,1.96875,5.1050837499999995
1,182, ,2.15625,5.89048125
1,183, ,1.96875,5.89048125
1,184, ,1.78125,5.1050837499999995
1,185, ,1.59375,5.1050837499999995
1,187, ,1.78125,5.89048125
1,188, ,1.59375,5.89048125
1,189, ,1.40625,0.3926987500000001
1,190, ,1.21875,0.3926987500000001
1,191, ,1.40625,1.1780962500000003
1,224, ,1.21875,1.1780962500000003
1,226, ,1.03125,0.3926987500000001
1,227, ,0.84375,0.3926987500000001
1,230, ,1.03125,1.1780962500000003
1,232, ,0.84375,1.1780962500000003
1,233, ,1.40625,1.9634937500000003
1,234, ,1.21875,1.9634937500000003
1,235, ,1.40625,2.74889125
1,236, ,1.21875,2.74889125
1,237, ,1.03125,1.9634937500000003
1,238, ,0.84375,1.9634937500000003
1,239, ,1.03125,2.74889125
1,248, ,0.84375,2.74889125
1,249, ,0.65625,0.3926987500000001
1,250, ,0.46875,0.3926987500000001
1,251, ,0.65625,1.1780962500000003
1,252, ,0.46875,1.1780962500000003
1,254, ,0.28125,0.3926987500000001
1,255,2,0.09375,0.3926987500000001
1,256, ,0.28125,1.1780962500000003
1,257, ,0.09375,1.1780962500000003
1,258, ,0.65625,1.9634937500000003
1,259, ,0.46875,1.9634937500000003
1,260, ,0.65625,2.74889125
1,261, ,0.46875,2.74889125
1,262, ,0.28125,1.9634937500000003
1,263, ,0.09375,1.9634937500000003
1,264, ,0.28125,2.74889125
1,265, ,0.09375,2.74889125
1,266, ,1.40625,3.5342887499999995
1,267, ,1.21875,3.5342887499999995
1,268, ,1.40625,4.319686249999999
1,269, ,1.21875,4.319686249999999
1,270, ,1.03125,3.5342887499999995
1,271, ,0.84375,3.5342887499999995
1,272, ,1.03125,4.319686249999999
1,273, ,0.84375,4.319686249999999
